0.088500 1334.967 795.308 333.947 164.583
0.100000 1382.404 836.770 415.946 181.962
0.107500 1462.203 939.265 345.066 199.548
0.115000 1682.318 979.690 438.529 205.254
0.125000 1816.430 963.679 494.574 223.106
0.140000 2040.187 1075.864 552.629 286.300
0.155000 2343.113 1046.064 542.123 309.547
0.165000 2185.130 1151.039 602.654 287.579
0.180000 2302.665 1179.811 625.510 322.769
0.200000 2484.283 1304.952 668.770 314.053
0.215000 2469.407 1282.348 635.254 322.497
0.230000 2404.784 1323.680 643.178 347.635
0.250000 2452.868 1381.816 703.898 395.317
0.275000 2587.382 1382.849 744.302 411.836
0.300000 2660.621 1411.766 742.029 420.169
0.325000 2614.418 1405.834 734.236 465.419
0.350000 2600.506 1427.089 740.257 460.405
0.375000 2549.032 1412.139 774.639 476.739
0.410000 2443.305 1414.240 751.346 500.676
0.445000 2393.106 1386.433 779.713 512.399
0.480000 2328.825 1426.760 770.670 540.540
0.520000 2201.917 1358.087 773.471 571.107
0.560000 2232.442 1312.368 774.749 518.287
0.600000 2110.885 1308.983 759.016 546.131
0.645000 2013.549 1272.052 776.185 532.933
0.695000 1843.377 1198.768 739.141 556.023
0.745000 1802.870 1124.218 718.388 542.074
0.800000 1749.204 1121.779 719.320 567.905
0.860000 1570.682 1087.582 711.780 548.560
0.925000 1500.112 1038.532 663.605 537.129
0.990000 1409.334 936.771 646.067 507.792
1.055000 1335.055 897.745 622.088 525.043
1.130000 1194.435 860.732 600.630 511.695
1.210000 1130.494 789.504 561.511 480.355
1.295000 1043.878 726.467 548.761 469.432
1.380000 938.592 721.208 496.622 465.878
1.470000 895.874 662.716 488.957 428.841
1.570000 818.801 606.027 445.967 411.672
1.670000 741.816 562.603 435.086 382.659
1.775000 673.281 525.954 391.637 375.139
1.890000 631.863 490.276 370.506 348.823
2.010000 575.142 431.415 340.164 346.174
2.135000 519.375 415.325 332.828 316.716
2.265000 468.252 381.339 314.474 293.339
2.405000 442.058 338.366 290.548 272.463
2.550000 382.832 314.857 271.590 258.542
2.700000 346.394 294.360 250.850 241.663
2.860000 317.209 264.513 223.179 218.276
3.030000 295.253 241.820 206.612 206.426
3.210000 262.302 216.080 188.554 191.244
3.395000 238.599 201.418 179.749 170.347
3.590000 204.508 185.956 162.815 155.731
3.905000 178.114 153.363 139.847 136.054
4.355000 150.564 128.540 114.930 115.714
4.850000 117.786 103.522 95.778 92.180
5.395000 94.763 85.760 80.949 79.408
5.990000 74.839 66.203 64.084 62.411
6.645000 59.473 53.257 50.253 50.251
7.365000 45.962 43.370 42.767 40.426
8.155000 37.064 35.503 32.609 33.508
9.025000 28.753 25.887 26.297 25.380
9.980000 22.697 21.708 21.052 20.517
11.025000 18.376 17.469 17.000 16.431
12.170000 13.985 13.673 13.349 13.135
13.430000 10.229 10.112 10.645 10.221
14.815000 8.623 8.455 8.362 7.718
16.330000 6.927 6.545 6.278 6.095
17.990000 4.854 5.109 5.067 4.840
19.810000 3.811 3.756 3.958 3.805
21.805000 2.998 2.950 2.933 3.044
24.000000 2.332 2.318 2.209 2.307
26.405000 1.712 1.770 1.741 1.753
29.040000 1.358 1.497 1.448 1.445
31.930000 1.111 1.149 1.141 1.116
35.095000 0.850 0.840 0.799 0.787
38.570000 0.653 0.585 0.613 0.607
42.380000 0.485 0.465 0.442 0.460
46.555000 0.376 0.389 0.368 0.386
